Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Antigua and Barbuda;SI3_AGG - MAIS - Iron and steel;2;2;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0
Antigua and Barbuda;SI3_AGG - MACH - Chemicals;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1
Antigua and Barbuda;SI3_AGG - MACHPH - Pharmaceuticals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;SI3_AGG - MAMT - Machinery and transport equipment;24;21;20;19;21;13;11;9;8;7;9;42;4;2;2;2;4;4
Antigua and Barbuda;SI3_AGG - MAMTOF - Office and telecom equipment;7;6;8;8;11;1;3;3;2;1;3;0;1;0;0;0;1;0
Antigua and Barbuda;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;SI3_AGG - MAMTOTTL - Telecommunications equipment;6;6;8;8;10;1;3;3;1;0;3;0;0;0;0;0;1;0
Antigua and Barbuda;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua and Barbuda;SI3_AGG - MAMTTE - Transport equipment;14;13;4;3;8;3;4;2;4;5;4;39;7;1;1;1;2;2
Antigua and Barbuda;SI3_AGG - MAMTAU - Automotive products;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Antigua and Barbuda;SI3_AGG - MATE - Textiles;2;2;3;3;3;7;7;8;10;6;7;11;1;0;0;0;0;0
Antigua and Barbuda;SI3_AGG - MACL - Clothing;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;1;1
Argentina;SI3_AGG - TO - Total merchandise;40351;46546;55779;70018;55672;68187;84051;79982;75963;68405;56784;57910;58644;61781;65116;54884;77935;88445
Argentina;SI3_AGG - AG - Agricultural products;19182;21351;28806;37511;28182;34650;45262;43151;42014;37894;34597;36995;35574;34341;38999;36093;42673;53816
Argentina;SI3_AGG - AGFO - Food;18635;20759;28115;36827;27590;33838;44225;42407;41326;37175;34036;36379;34928;33520;38265;35612;42091;52998
