Reporting Economy;Product/Sector;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Kyrgyz Republic;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;1
Kyrgyz Republic;SI3_AGG - MAMTTE - Transport equipment;19;24;42;35;33;37;70;145;101;85;119;107;149;85;65;53;70;112
Kyrgyz Republic;SI3_AGG - MAMTAU - Automotive products;17;16;38;28;26;32;62;120;81;61;64;56;59;47;44;26;52;80
Kyrgyz Republic;SI3_AGG - MATE - Textiles;10;11;11;10;7;7;15;14;11;12;10;4;5;4;11;4;14;256
Kyrgyz Republic;SI3_AGG - MACL - Clothing;23;48;79;99;73;126;143;157;105;100;41;69;119;152;103;56;63;195
Landlocked developing countries;SI3_AGG - TO - Total merchandise;78030;104017;133878;179722;125835;164638;220994;225827;231278;228596;156209;140068;163406;192713;191384;168328;219617;277334
Lao People's Democratic Republic;SI3_AGG - TO - Total merchandise;553;882;923;1092;1053;1746;2190;2271;2264;2662;3653;4245;4873;5408;5806;6115;7695;8198
Lao People's Democratic Republic;SI3_AGG - AG - Agricultural products;;;;;;503;324;311;569;613;777;1014;1208;1486;1851;1953;2105;2990
Lao People's Democratic Republic;SI3_AGG - AGFO - Food;;;;;;464;233;237;423;446;629;917;1022;999;1313;1428;1474;2007
Lao People's Democratic Republic;SI3_AGG - MI - Fuels and mining products;;;;;;975;1201;912;1229;1207;1209;1161;2497;2690;2467;1658;2372;2425
Lao People's Democratic Republic;SI3_AGG - MIFU - Fuels;;;;;;17;15;11;18;1;5;601;1293;1410;1347;858;1647;1724
Lao People's Democratic Republic;SI3_AGG - MA - Manufactures;;;;;;307;258;134;459;614;847;820;1027;1231;1299;1018;1726;2409
Lao People's Democratic Republic;SI3_AGG - MAIS - Iron and steel;;;;;;0;0;0;0;0;1;4;1;0;2;7;24;21
Lao People's Democratic Republic;SI3_AGG - MACH - Chemicals;;;;;;23;39;45;103;88;202;177;168;253;312;251;264;805
Lao People's Democratic Republic;SI3_AGG - MACHPH - Pharmaceuticals;;;;;;1;0;;0;0;0;0;0;0;0;0;0;1
Lao People's Democratic Republic;SI3_AGG - MAMT - Machinery and transport equipment;;;;;;27;15;6;58;211;361;386;470;531;438;301;287;273
Lao People's Democratic Republic;SI3_AGG - MAMTOF - Office and telecom equipment;;;;;;2;0;0;10;178;289;314;383;444;346;228;213;219
Lao People's Democratic Republic;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;;;;;0;;;2;0;1;5;25;30;21;18;34;53
Lao People's Democratic Republic;SI3_AGG - MAMTOTTL - Telecommunications equipment;;;;;;1;0;;6;176;286;308;357;413;325;210;179;165
Lao People's Democratic Republic;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;;;;;;;0;2;2;2;1;1;0;0;0;0;1
Lao People's Democratic Republic;SI3_AGG - MAMTTE - Transport equipment;;;;;;4;3;1;18;7;20;30;28;21;11;7;8;8
Lao People's Democratic Republic;SI3_AGG - MAMTAU - Automotive products;;;;;;3;2;0;15;5;18;22;19;19;7;5;4;4
Lao People's Democratic Republic;SI3_AGG - MATE - Textiles;;;;;;3;2;1;3;5;3;2;6;9;11;10;11;17
Lao People's Democratic Republic;SI3_AGG - MACL - Clothing;;;;;;184;149;46;194;203;169;149;180;190;208;190;200;257
Latvia;SI3_AGG - TO - Total merchandise;5161;6155;8308;10144;7702;9532;13130;14112;14467;14715;12286;12294;14126;16166;15705;16337;20833;24121
Latvia;SI3_AGG - AG - Agricultural products;1575;1768;2469;2738;2235;2885;3492;4221;4566;4468;3634;3711;4270;4870;5138;5380;6474;7624
Latvia;SI3_AGG - AGFO - Food;619;780;1148;1654;1385;1657;2049;2844;2986;2780;2239;2323;2888;3040;3392;3671;3860;4855
Latvia;SI3_AGG - MI - Fuels and mining products;633;551;584;753;592;825;1592;1556;1540;1440;990;731;976;1144;973;855;1880;3301
Latvia;SI3_AGG - MIFU - Fuels;464;315;306;361;391;495;1028;1054;1107;1045;729;527;701;811;714;581;1367;2863
Latvia;SI3_AGG - MA - Manufactures;2951;3829;5249;6646;4854;5793;7993;8244;8281;8552;7434;7635;8641;9951;9375;9850;12266;12756
Latvia;SI3_AGG - MAIS - Iron and steel;397;503;676;952;518;703;839;960;551;421;378;318;429;517;438;385;689;322
Latvia;SI3_AGG - MACH - Chemicals;328;490;697;929;710;812;1088;1054;1108;1173;1005;1110;1302;1460;1450;1529;2179;2375
Latvia;SI3_AGG - MACHPH - Pharmaceuticals;127;193;278;311;314;370;426;344;395;415;368;452;493;541;558;521;699;724
Latvia;SI3_AGG - MAMT - Machinery and transport equipment;674;1030;1611;2165;1720;1909;2684;2817;3072;3319;2976;2953;3360;4000;3540;3851;4283;4617
Latvia;SI3_AGG - MAMTOF - Office and telecom equipment;114;168;279;436;443;532;665;803;1055;1330;1314;1210;1197;1232;1246;1589;1645;1548
Latvia;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;38;52;117;129;145;157;162;175;179;183;198;245;170;208;216;273;301;313
Latvia;SI3_AGG - MAMTOTTL - Telecommunications equipment;66;82;141;291;283;361;483;601;841;1110;1053;923;988;992;985;1265;1201;1111
Latvia;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;10;34;21;17;16;14;20;27;35;38;63;43;39;32;45;50;144;124
Latvia;SI3_AGG - MAMTTE - Transport equipment;222;397;618;801;557;584;894;818;773;860;703;817;849;995;930;825;933;1072
Latvia;SI3_AGG - MAMTAU - Automotive products;121;261;402;506;364;401;611;503;403;542;505;581;651;767;726;610;755;855
Latvia;SI3_AGG - MATE - Textiles;208;251;291;265;175;220;262;257;310;343;298;249;289;288;277;275;319;324
Latvia;SI3_AGG - MACL - Clothing;280;287;310;347;249;264;378;416;364;324;246;238;256;275;308;299;332;325
LDC exporters of agriculture;SI3_AGG - TO - Total merchandise;5238;6116;7579;9102;9191;10975;14318;15050;15780;16588;14128;14793;16835;18836;19056;21143;24503;24533
LDC exporters of manufactures;SI3_AGG - TO - Total merchandise;15227;18545;19999;23690;22464;27800;35592;37180;40313;42113;45500;49780;52727;58148;59947;55934;70006;84248
LDC non-fuel mineral exporters;SI3_AGG - TO - Total merchandise;11465;16304;18327;22728;19423;28342;34716;37097;38161;39928;35619;34593;45842;55539;48079;56351;74541;82036
LDC oil exporters;SI3_AGG - TO - Total merchandise;41656;52479;70168;94740;65301;81339;99164;96573;98063;86252;53457;46915;57464;66286;62692;46179;59605;78716
Least-developed countries;SI3_AGG - TO - Total merchandise;75204;95093;117805;152500;118475;150703;186424;188549;195098;187760;151450;150454;179019;205955;197949;186321;238004;279442
Lebanese Republic;SI3_AGG - TO - Total merchandise;2337;2814;3574;4454;4187;5021;5664;5615;5170;4548;3982;3930;4026;3830;4829;4085;4590;4370
Lebanese Republic;SI3_AGG - AG - Agricultural products;312;307;392;471;456;536;595;630;746;790;743;693;696;647;631;722;1019;782
Lebanese Republic;SI3_AGG - AGFO - Food;285;288;369;441;432;511;570;607;723;772;725;681;687;637;622;709;1006;766
Lebanese Republic;SI3_AGG - MI - Fuels and mining products;219;251;400;397;212;372;427;458;763;307;249;197;314;333;283;260;414;402
Lebanese Republic;SI3_AGG - MIFU - Fuels;7;7;6;12;12;6;4;90;337;32;24;14;43;25;54;12;9;15
Lebanese Republic;SI3_AGG - MA - Manufactures;1218;1270;1675;2257;1915;2176;2072;1959;1865;1843;1720;1378;1400;1678;1674;1717;2308;2419
Lebanese Republic;SI3_AGG - MAIS - Iron and steel;13;22;25;46;22;19;32;31;20;18;8;7;7;7;7;10;18;19
Lebanese Republic;SI3_AGG - MACH - Chemicals;200;206;300;534;314;382;466;436;418;462;489;387;422;498;477;395;426;715
Lebanese Republic;SI3_AGG - MACHPH - Pharmaceuticals;9;8;11;16;16;17;36;32;36;38;56;54;53;57;58;49;41;45
Lebanese Republic;SI3_AGG - MAMT - Machinery and transport equipment;335;366;476;576;554;750;550;478;540;476;435;351;338;342;409;512;572;583
Lebanese Republic;SI3_AGG - MAMTOF - Office and telecom equipment;33;24;26;36;94;291;40;28;34;34;22;24;25;19;26;27;23;37
Lebanese Republic;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;16;13;17;25;70;199;16;12;16;14;7;7;12;10;14;15;10;14
Lebanese Republic;SI3_AGG - MAMTOTTL - Telecommunications equipment;17;10;8;8;12;20;11;11;10;16;9;10;8;6;8;9;11;14
Lebanese Republic;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;1;1;2;2;12;72;13;4;7;5;6;7;5;4;4;3;3;9
Lebanese Republic;SI3_AGG - MAMTTE - Transport equipment;25;48;75;78;84;58;60;61;71;59;65;48;38;46;62;191;262;230
Lebanese Republic;SI3_AGG - MAMTAU - Automotive products;21;27;22;26;22;24;30;39;31;29;19;14;16;16;13;137;234;213
Lebanese Republic;SI3_AGG - MATE - Textiles;26;25;37;45;42;37;43;37;37;39;36;27;21;18;20;20;24;25
Lebanese Republic;SI3_AGG - MACL - Clothing;56;62;67;72;66;70;84;78;85;86;66;57;46;35;30;33;26;29
Lesotho;SI3_AGG - TO - Total merchandise;651;718;830;884;734;878;1172;972;847;826;929;881;1028;1221;919;845;935;894
Lesotho;SI3_AGG - AG - Agricultural products;41;44;47;92;74;105;123;127;94;99;97;114;131;107;115;130;161;178
Lesotho;SI3_AGG - AGFO - Food;37;42;45;69;53;79;97;88;87;74;58;78;89;88;75;83;108;125
Lesotho;SI3_AGG - MI - Fuels and mining products;0;0;0;4;1;4;3;2;14;378;187;2;3;11;2;2;2;2
Lesotho;SI3_AGG - MIFU - Fuels;0;0;0;1;0;1;2;1;0;0;0;1;1;0;0;0;0;0
Lesotho;SI3_AGG - MA - Manufactures;572;648;722;613;527;378;626;537;250;339;322;547;585;764;777;705;771;714
Lesotho;SI3_AGG - MAIS - Iron and steel;;;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Lesotho;SI3_AGG - MACH - Chemicals;2;4;1;1;4;1;1;1;1;1;1;1;2;2;3;3;3;3
Lesotho;SI3_AGG - MACHPH - Pharmaceuticals;;;;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0
Lesotho;SI3_AGG - MAMT - Machinery and transport equipment;;;;101;103;133;111;94;71;32;34;65;69;79;68;46;79;65
Lesotho;SI3_AGG - MAMTOF - Office and telecom equipment;;;;49;56;78;39;19;6;6;7;12;17;20;12;5;5;4
Lesotho;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lesotho;SI3_AGG - MAMTOTTL - Telecommunications equipment;;;;49;56;78;38;15;5;5;6;8;17;20;12;5;5;4
Lesotho;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;;;;0;0;0;0;4;0;0;0;3;1;0;0;0;0;0
Lesotho;SI3_AGG - MAMTTE - Transport equipment;;;;3;3;5;6;7;9;4;7;8;6;8;6;4;10;4
Lesotho;SI3_AGG - MAMTAU - Automotive products;;;;3;3;5;5;7;8;4;6;7;5;6;5;3;9;3
Lesotho;SI3_AGG - MATE - Textiles;;;;21;29;20;35;23;18;19;19;29;36;53;49;32;60;65
Lesotho;SI3_AGG - MACL - Clothing;446;499;503;426;340;168;409;358;120;270;239;399;436;479;469;344;449;394
Liberia;SI3_AGG - TO - Total merchandise;131;158;200;242;149;222;367;460;559;444;283;279;358;548;543;608;881;1058
Libya;SI3_AGG - TO - Total merchandise;28849;37473;46929;61950;37055;48935;19060;61026;46018;20826;11392;6764;18865;29830;29058;9312;33417;37686
Libya;SI3_AGG - AG - Agricultural products;24;23;1;8;2;1;0;1;1;25;30;63;63;60;38;31;37;63
Libya;SI3_AGG - AGFO - Food;18;18;1;1;2;1;0;1;1;14;21;49;49;46;30;25;29;50
Libya;SI3_AGG - MI - Fuels and mining products;30427;38768;31409;43242;26682;35609;18615;60188;42805;20351;10961;6494;18183;28858;27507;7585;32835;36854
Libya;SI3_AGG - MIFU - Fuels;30399;38717;31406;43238;26681;35609;18615;60188;42805;20235;10623;6223;15536;25386;24197;5724;27485;33255
Libya;SI3_AGG - MA - Manufactures;838;1080;1093;1447;572;830;379;217;452;511;371;204;204;295;186;225;439;631
Libya;SI3_AGG - MAIS - Iron and steel;227;306;151;337;119;277;98;112;104;149;81;76;76;138;103;158;212;239
Libya;SI3_AGG - MACH - Chemicals;555;742;931;1105;450;553;222;67;286;333;270;91;91;112;47;15;200;313
Libya;SI3_AGG - MACHPH - Pharmaceuticals;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Libya;SI3_AGG - MAMT - Machinery and transport equipment;41;20;0;0;0;0;0;0;0;25;18;30;30;29;25;48;22;64
Libya;SI3_AGG - MAMTOF - Office and telecom equipment;1;1;0;0;0;0;0;0;0;1;3;0;0;0;13;0;0;0
Libya;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Libya;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0
Libya;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0
Libya;SI3_AGG - MAMTTE - Transport equipment;1;2;0;0;0;0;0;0;0;7;4;15;15;2;2;19;4;59
Libya;SI3_AGG - MAMTAU - Automotive products;0;1;0;0;0;0;0;0;0;0;0;15;15;2;1;0;0;0
Libya;SI3_AGG - MATE - Textiles;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
Libya;SI3_AGG - MACL - Clothing;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;SI3_AGG - TO - Total merchandise;11807;14142;17144;23646;16454;20748;28050;29611;32598;32319;25392;25010;29901;33337;33151;32805;40706;46340
Lithuania;SI3_AGG - AG - Agricultural products;1902;2354;3405;4185;3514;4142;5207;5977;6889;6863;5511;5408;6000;6515;6736;7564;8029;9249
Lithuania;SI3_AGG - AGFO - Food;1496;1941;2864;3696;3136;3606;4478;5260;5986;5890;4679;4582;5152;5472;5742;6593;6738;7791
Lithuania;SI3_AGG - MI - Fuels and mining products;3379;3591;2654;6237;3689;5173;7654;7764;8027;6224;4525;3831;4939;5663;5120;3053;5322;9011
Lithuania;SI3_AGG - MIFU - Fuels;3196;3350;2303;5834;3514;4868;7156;7311;7588;5760;4196;3514;4429;5030;4492;2340;4123;8035
Lithuania;SI3_AGG - MA - Manufactures;6521;8191;11073;13208;9239;11416;15155;15839;17649;19229;15343;15747;18589;20876;21073;21838;27126;27982
Lithuania;SI3_AGG - MAIS - Iron and steel;114;146;229;319;200;210;299;315;278;283;249;272;361;413;354;364;576;586
Lithuania;SI3_AGG - MACH - Chemicals;1025;1293;2309;3235;2263;2719;3843;3898;4019;4318;3799;3822;4291;5039;5068;5775;8010;7878
Lithuania;SI3_AGG - MACHPH - Pharmaceuticals;85;95;144;205;265;302;373;411;509;680;701;801;796;854;902;998;1079;1085
Lithuania;SI3_AGG - MAMT - Machinery and transport equipment;2421;3178;3979;4497;2810;3725;5014;5255;5832;6549;4714;4742;6247;6769;7011;6899;7937;8486
Lithuania;SI3_AGG - MAMTOF - Office and telecom equipment;577;642;676;727;414;577;694;688;802;1046;999;960;1186;1148;1143;1295;1482;1555
Lithuania;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;166;218;236;226;104;151;246;291;315;468;318;338;375;402;492;494;515;501
Lithuania;SI3_AGG - MAMTOTTL - Telecommunications equipment;251;333;398;477;298;404;425;373;448;507;624;576;758;688;577;737;894;975
Lithuania;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;160;91;41;25;11;22;22;24;38;72;57;46;54;58;74;63;74;78
Lithuania;SI3_AGG - MAMTTE - Transport equipment;985;1447;1825;2063;1236;1643;2207;1981;2124;1765;1106;1220;1568;1684;1981;1822;2388;3126
Lithuania;SI3_AGG - MAMTAU - Automotive products;581;969;1295;1379;818;1108;1684;1424;1543;1221;737;815;1159;1162;1426;1260;1657;2312
Lithuania;SI3_AGG - MATE - Textiles;387;436;517;490;367;453;538;519;590;717;539;567;642;706;696;736;789;834
Lithuania;SI3_AGG - MACL - Clothing;677;706;743;781;651;720;859;791;960;959;700;705;724;731;664;568;659;652
Luxembourg;SI3_AGG - TO - Total merchandise;19120;22980;22933;25694;21339;19748;20866;18833;18441;19099;17139;15796;15761;16412;16451;13839;16800;17274
Luxembourg;SI3_AGG - AG - Agricultural products;998;1062;1105;1269;1230;1594;1464;1417;1674;1752;1521;1446;1575;1684;1539;1537;1691;1745
Luxembourg;SI3_AGG - AGFO - Food;898;914;1010;1163;1102;1168;1330;1243;1334;1495;1298;1209;1307;1454;1342;1341;1518;1610
Luxembourg;SI3_AGG - MI - Fuels and mining products;787;1084;1376;1207;764;902;1016;846;832;874;732;686;879;780;677;641;900;995
Luxembourg;SI3_AGG - MIFU - Fuels;62;106;123;149;155;132;133;124;126;117;61;8;12;15;14;11;27;36
Luxembourg;SI3_AGG - MA - Manufactures;16805;20542;20160;22899;19109;16908;17784;16187;15668;15991;14611;13294;12761;13538;13880;11395;13875;14374
Luxembourg;SI3_AGG - MAIS - Iron and steel;2579;3272;4018;4892;2548;3047;3463;2689;2612;2754;2108;2004;2210;2603;2288;1795;2454;2666
Luxembourg;SI3_AGG - MACH - Chemicals;854;942;1185;1202;1060;1172;1344;1306;1547;1687;1721;1754;1872;1994;1778;1771;2120;2243
Luxembourg;SI3_AGG - MACHPH - Pharmaceuticals;50;54;76;97;155;158;205;299;338;348;332;360;383;317;155;151;193;145
Luxembourg;SI3_AGG - MAMT - Machinery and transport equipment;9210;12060;10345;12056;11229;8220;7913;7400;6584;6557;6127;5204;4195;4540;5912;3979;4734;4695
Luxembourg;SI3_AGG - MAMTOF - Office and telecom equipment;6744;8910;6663;8240;8104;5324;4667;4571;3535;3304;2991;1909;569;611;1913;267;375;324
Luxembourg;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;4128;4735;5885;7287;5281;1569;537;426;446;457;428;486;238;90;114;97;136;106
Luxembourg;SI3_AGG - MAMTOTTL - Telecommunications equipment;2543;3954;683;805;2604;3575;3925;4011;3030;2812;2519;1356;244;407;1720;110;185;150
Luxembourg;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;73;221;94;148;220;180;205;133;59;35;45;66;87;114;79;60;55;68
Luxembourg;SI3_AGG - MAMTTE - Transport equipment;893;1453;1328;1376;1274;1117;1297;1014;1233;1297;1319;1238;1278;1310;1419;1344;1658;1534
Luxembourg;SI3_AGG - MAMTAU - Automotive products;592;695;904;912;691;689;718;682;780;882;756;816;897;929;975;959;1088;1040
Luxembourg;SI3_AGG - MATE - Textiles;540;567;628;618;620;648;701;619;595;586;566;571;548;602;594;592;646;690
Luxembourg;SI3_AGG - MACL - Clothing;162;171;182;210;149;152;144;133;140;156;143;125;52;49;61;75;87;71
Macao, China;SI3_AGG - TO - Total merchandise;2476;2557;2543;1997;961;870;869;1021;1138;1241;1339;1257;1406;1510;1586;1353;1620;1677
Macao, China;SI3_AGG - AG - Agricultural products;46;50;48;61;56;32;94;100;114;105;28;29;170;157;53;37;68;99
Macao, China;SI3_AGG - AGFO - Food;40;46;44;58;53;31;92;98;112;103;26;28;169;156;51;37;67;99
Macao, China;SI3_AGG - MI - Fuels and mining products;140;188;211;243;124;2;6;6;12;19;5;8;18;19;9;13;27;22
Macao, China;SI3_AGG - MIFU - Fuels;101;136;151;192;87;0;0;0;0;0;0;0;0;0;0;0;0;0
Macao, China;SI3_AGG - MA - Manufactures;2289;2318;2283;1691;780;477;458;578;661;747;724;441;799;942;928;943;1284;1200
Macao, China;SI3_AGG - MAIS - Iron and steel;2;2;6;10;2;1;1;0;1;2;5;0;1;1;1;0;2;2
Macao, China;SI3_AGG - MACH - Chemicals;23;28;28;41;38;8;7;15;21;14;38;8;40;62;52;54;58;57
Macao, China;SI3_AGG - MACHPH - Pharmaceuticals;9;11;10;12;14;0;0;0;0;0;27;0;14;5;2;0;0;0
Macao, China;SI3_AGG - MAMT - Machinery and transport equipment;202;212;326;220;148;93;107;249;289;315;268;153;213;338;304;223;355;326
Macao, China;SI3_AGG - MAMTOF - Office and telecom equipment;54;73;143;114;56;46;49;162;146;151;85;38;31;31;247;202;307;264
Macao, China;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;37;52;89;51;15;9;11;13;14;16;9;7;10;9;50;93;84;33
Macao, China;SI3_AGG - MAMTOTTL - Telecommunications equipment;11;15;39;46;32;34;34;142;122;129;76;30;12;11;194;106;181;213
Macao, China;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;6;6;15;17;9;3;3;7;10;6;0;0;9;12;2;4;42;18
Macao, China;SI3_AGG - MAMTTE - Transport equipment;24;12;11;12;16;7;3;2;6;9;31;8;10;9;10;2;9;17
Macao, China;SI3_AGG - MAMTAU - Automotive products;16;7;7;6;9;5;3;2;5;7;27;8;9;8;10;2;5;4
Macao, China;SI3_AGG - MATE - Textiles;275;242;197;107;57;29;24;10;7;7;4;0;6;6;2;6;1;1
Macao, China;SI3_AGG - MACL - Clothing;1653;1610;1491;1053;269;193;147;127;98;102;56;28;109;78;100;174;217;154
Madagascar;SI3_AGG - TO - Total merchandise;855;985;1238;1310;1052;1149;1590;1516;1923;2196;2048;2254;2848;3110;2696;2026;2726;3609
Madagascar;SI3_AGG - AG - Agricultural products;301;371;418;379;357;284;415;422;447;612;695;922;1345;1388;1042;937;1042;1166
Madagascar;SI3_AGG - AGFO - Food;244;330;377;335;304;253;392;394;409;563;647;874;1281;1327;981;881;994;1124
Madagascar;SI3_AGG - MI - Fuels and mining products;73;114;124;148;80;152;216;312;560;883;800;622;736;856;805;384;896;1431
Madagascar;SI3_AGG - MIFU - Fuels;43;80;85;98;49;63;81;82;72;84;64;58;54;73;79;34;32;52
Madagascar;SI3_AGG - MA - Manufactures;395;424;696;781;615;589;621;458;616;699;552;698;761;783;750;627;788;921
Madagascar;SI3_AGG - MAIS - Iron and steel;0;0;1;1;1;1;1;1;0;2;0;0;0;0;1;1;1;1
Madagascar;SI3_AGG - MACH - Chemicals;13;15;43;21;22;32;41;20;45;66;58;60;66;104;81;87;114;117
Madagascar;SI3_AGG - MACHPH - Pharmaceuticals;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;5;6;6
Madagascar;SI3_AGG - MAMT - Machinery and transport equipment;31;25;38;101;62;120;122;21;65;33;28;34;32;40;24;19;19;20
Madagascar;SI3_AGG - MAMTOF - Office and telecom equipment;4;3;2;3;5;3;3;1;2;2;2;3;2;3;2;2;1;1
Madagascar;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;1;0;0;1;2;1;2;1;1;1;1;1;0;1;0;1;0;0
Madagascar;SI3_AGG - MAMTOTTL - Telecommunications equipment;2;3;1;2;3;2;1;1;1;1;1;2;1;1;1;1;1;0
Madagascar;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Madagascar;SI3_AGG - MAMTTE - Transport equipment;11;11;8;79;11;36;73;7;45;12;10;9;8;8;10;7;8;7
Madagascar;SI3_AGG - MAMTAU - Automotive products;4;1;2;6;4;9;15;3;2;3;2;3;1;2;1;3;1;1
Madagascar;SI3_AGG - MATE - Textiles;18;27;42;41;65;30;46;37;43;59;52;50;44;44;43;44;44;28
Madagascar;SI3_AGG - MACL - Clothing;257;252;487;547;431;303;290;293;374;458;415;469;535;497;496;391;491;577
Malawi;SI3_AGG - TO - Total merchandise;508;691;877;880;1192;1109;1434;1203;1200;1418;1072;1022;839;838;899;771;1009;800
Malawi;SI3_AGG - AG - Agricultural products;420;596;783;791;1076;905;1156;990;964;1122;910;883;770;776;834;717;914;683
Malawi;SI3_AGG - AGFO - Food;401;573;750;755;1031;861;1084;907;909;1068;869;861;756;764;824;710;903;676
Malawi;SI3_AGG - MI - Fuels and mining products;1;2;0;0;11;110;127;133;136;42;3;11;3;5;4;5;10;11
Malawi;SI3_AGG - MIFU - Fuels;0;1;0;0;1;2;1;1;0;1;1;1;1;1;1;1;0;0
Malawi;SI3_AGG - MA - Manufactures;81;86;93;89;106;93;132;81;95;254;159;129;66;57;61;49;83;105
Malawi;SI3_AGG - MAIS - Iron and steel;0;1;0;0;3;2;1;0;1;6;2;0;0;0;0;1;2;1
Malawi;SI3_AGG - MACH - Chemicals;2;4;19;7;8;15;17;8;13;28;27;15;11;9;13;11;13;28
Malawi;SI3_AGG - MACHPH - Pharmaceuticals;0;1;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;1
Malawi;SI3_AGG - MAMT - Machinery and transport equipment;20;17;14;16;32;27;44;22;30;162;58;41;33;19;27;14;37;45
Malawi;SI3_AGG - MAMTOF - Office and telecom equipment;1;2;3;1;3;4;4;1;1;9;1;4;1;0;3;1;3;2
Malawi;SI3_AGG - MAMTOTEP - Electronic data processing and office equipment;0;1;2;1;1;3;1;1;1;0;1;0;0;0;3;0;1;1
Malawi;SI3_AGG - MAMTOTTL - Telecommunications equipment;0;1;1;1;2;1;3;1;0;8;1;3;1;0;0;1;1;0
Malawi;SI3_AGG - MAMTOTIC - Integrated circuits and electronic components;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Malawi;SI3_AGG - MAMTTE - Transport equipment;11;10;4;7;10;7;28;10;7;27;17;14;18;6;9;5;21;8
Malawi;SI3_AGG - MAMTAU - Automotive products;7;6;3;5;8;5;24;8;5;23;12;5;15;4;8;4;7;7
Malawi;SI3_AGG - MATE - Textiles;3;2;2;22;3;3;4;1;2;5;2;1;4;3;4;6;6;3
Malawi;SI3_AGG - MACL - Clothing;42;41;32;26;29;19;17;6;10;6;7;2;1;2;3;1;0;0
Malaysia;SI3_AGG - TO - Total merchandise;141626;160749;175966;199414;157244;198612;228086;227538;228331;233927;199952;189743;218130;247455;238195;234766;299425;352475
Malaysia;SI3_AGG - AG - Agricultural products;13341;15573;20549;27814;20861;28869;38902;33911;30044;30130;25386;25544;28642;26793;26345;27237;36577;41478
Malaysia;SI3_AGG - AGFO - Food;9830;11175;16220;23142;17627;23609;31716;28451;25099;26008;21692;21875;24011;22608;22264;23576;32287;37275
Malaysia;SI3_AGG - MI - Fuels and mining products;20577;24206;28118;40014;25618;35378;45889;51696;58369;58457;40821;33823;42132;49586;43958;34847;51364;74359
Malaysia;SI3_AGG - MIFU - Fuels;18986;22062;25329;36461;23208;31501;40266;46416;50851;51719;32962;26523;33537;38975;34685;26648;37246;60465
Malaysia;SI3_AGG - MA - Manufactures;105572;117906;124740;129870;109404;133189;140832;139991;138430;144156;132949;128831;144988;170178;167889;171147;210309;234747
Malaysia;SI3_AGG - MAIS - Iron and steel;1841;2538;3041;3119;2492;2608;3305;3192;2347;2905;2200;1642;2821;3627;5092;5397;7012;7542
Malaysia;SI3_AGG - MACH - Chemicals;8217;8756;10531;11723;9472;12664;15102;14923;15128;15853;14412;14396;15101;18822;18628;16016;22726;24924
Malaysia;SI3_AGG - MACHPH - Pharmaceuticals;135;135;197;169;229;308;265;307;309;358;334;348;379;404;459;459;573;604
Malaysia;SI3_AGG - MAMT - Machinery and transport equipment;76478;84443;86163;85792;73130;87335;88089;86428;86917;90823;83848;81802;95825;112670;107890;110398;131468;159174
Malaysia;SI3_AGG - MAMTOF - Office and telecom equipment;60294;67874;68497;67695;57446;67242;66284;62541;63187;65721;59201;57617;69483;83959;78951;83117;99606;120145
